Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color
2020,Q2,North America,Model 3,2273,50014.19,43,Long Range,RWD,Green
2023,Q3,South America,Cybertruck,318,101219.92,6,Standard,AWD,Black
2012,Q1,South America,Cybertruck,2358,45159.03,49,Long Range,AWD,Blue
2022,Q2,Europe,Semi,4681,98312.25,5,Long Range,RWD,Blue
2022,Q3,Asia,Cybertruck,737,100828.42,38,Performance,AWD,Black
2016,Q3,Europe,Semi,2786,83529.38,59,Long Range,RWD,Red
2023,Q2,Australia,Model S,4809,91239.23,10,Long Range,AWD,Black
2012,Q1,South America,Model X,4733,35296.49,35,Standard,RWD,Red
2022,Q4,Europe,Semi,3209,78054.24,56,Standard,AWD,Silver
2023,Q1,South America,Model 3,1273,38138.1,55,Standard,AWD,White
2023,Q3,South America,Model Y,3923,51076.62,34,Standard,AWD,Green
2022,Q3,Europe,Cybertruck,1976,66691.72,38,Performance,RWD,Red
2013,Q4,South America,Cybertruck,1599,52919.6,15,Performance,AWD,Black
2014,Q4,Europe,Model S,1162,85848.95,17,Performance,RWD,White
2015,Q1,Australia,Semi,3819,78408.07,21,Standard,AWD,Silver
2014,Q3,Europe,Model X,2665,52543.65,15,Performance,AWD,Red
2017,Q4,Asia,Model Y,1577,109975.14,16,Standard,AWD,Silver
2016,Q3,North America,Model S,602,36329.53,9,Long Range,RWD,White
2021,Q2,Asia,Model Y,2679,52861.66,19,Performance,AWD,Red
2014,Q3,Asia,Model X,2375,70379.2,10,Standard,AWD,Red
2022,Q3,Europe,Model X,3203,67557.12,3,Performance,RWD,White
2024,Q1,Europe,Model S,1446,49063.92,40,Standard,RWD,White
2017,Q1,Europe,Cybertruck,2839,118344.53,38,Standard,RWD,Blue
2013,Q1,North America,Semi,2369,48602.75,37,Performance,RWD,Silver
2012,Q1,Europe,Semi,300,44186.17,19,Standard,AWD,Red
2024,Q1,Europe,Semi,3208,73850.28,42,Long Range,AWD,Blue
2020,Q3,Europe,Model 3,888,65540.83,53,Performance,AWD,Black
2014,Q1,Europe,Model X,2072,114669.97,48,Long Range,AWD,Black
2018,Q4,Asia,Model S,4466,94568.0,57,Long Range,RWD,Black
2021,Q4,Europe,Model X,3834,103367.79,8,Long Range,RWD,Black
2013,Q2,South America,Cybertruck,1612,112166.03,41,Standard,AWD,Blue
2021,Q3,South America,Model 3,629,104752.58,46,Long Range,AWD,Green
2024,Q3,South America,Model X,4783,86800.84,50,Long Range,AWD,White
2016,Q3,Asia,Semi,1453,48845.08,23,Performance,RWD,White
2023,Q1,North America,Cybertruck,3414,77320.16,21,Standard,AWD,Blue
2016,Q2,Australia,Semi,4038,106678.64,50,Long Range,AWD,Green
2015,Q3,Asia,Semi,3680,98046.5,54,Performance,RWD,Black
2013,Q1,South America,Cybertruck,3349,48767.78,15,Standard,RWD,Green
2017,Q1,North America,Model S,1106,40756.39,9,Long Range,AWD,Green
2013,Q3,South America,Cybertruck,4751,75651.02,58,Standard,AWD,Green
2024,Q1,Asia,Model Y,65,40579.04,40,Long Range,AWD,Black
2017,Q4,Australia,Model 3,747,76575.31,50,Standard,RWD,Green
2013,Q2,South America,Model Y,1366,38546.18,32,Long Range,AWD,Red
2021,Q4,Asia,Semi,378,56077.88,40,Standard,RWD,Blue
2024,Q2,South America,Model 3,3720,41897.77,36,Long Range,RWD,Red
2012,Q3,Asia,Semi,2902,96114.02,48,Standard,RWD,White
2024,Q2,North America,Model X,227,100367.42,39,Long Range,RWD,Red
2016,Q4,Australia,Model Y,720,79354.42,16,Long Range,AWD,Blue
2019,Q4,North America,Model 3,2034,48347.56,29,Standard,RWD,Green
2022,Q1,Asia,Model 3,4255,118522.04,51,Long Range,RWD,Silver
2022,Q2,North America,Model S,4241,71210.43,18,Standard,AWD,Black
2012,Q2,Asia,Model 3,3820,58019.01,46,Standard,RWD,Blue
2017,Q3,North America,Semi,594,44651.12,53,Standard,AWD,Red
2018,Q4,Europe,Semi,3044,104385.68,35,Long Range,AWD,White
2015,Q4,Asia,Cybertruck,1313,69125.47,8,Performance,RWD,Red
2020,Q1,Europe,Semi,2780,109451.09,10,Performance,AWD,White
2019,Q4,Australia,Model X,2386,101181.42,17,Performance,RWD,White
2019,Q3,Asia,Model 3,4120,74324.15,14,Performance,RWD,Green
2021,Q4,North America,Model S,3606,40137.96,53,Performance,AWD,Black
2015,Q2,Asia,Model S,1943,98709.15,44,Performance,RWD,Black
2019,Q3,South America,Model Y,2200,63570.48,51,Long Range,RWD,Green
2019,Q1,South America,Model 3,1137,107250.55,59,Performance,RWD,Red
2012,Q3,Australia,Model X,3053,43440.43,10,Performance,RWD,Black
2021,Q3,Europe,Cybertruck,1154,72600.04,59,Long Range,RWD,Blue
2021,Q2,North America,Model X,1030,38490.47,8,Long Range,AWD,Blue
2019,Q2,North America,Model S,2967,50428.79,35,Performance,AWD,Red
2014,Q4,Europe,Model X,751,98076.53,33,Long Range,AWD,Black
2022,Q4,North America,Model 3,1043,79407.97,54,Long Range,RWD,Black
2019,Q3,North America,Model Y,3005,72865.78,39,Standard,AWD,Black
2013,Q2,North America,Model S,3684,78625.13,34,Long Range,RWD,Green
2014,Q2,Australia,Model Y,2436,92558.14,8,Long Range,AWD,Silver
2014,Q1,Australia,Model Y,2186,91303.92,59,Long Range,AWD,Silver
2020,Q3,South America,Model X,3707,58012.31,4,Standard,AWD,Blue
2015,Q4,Australia,Model S,643,117196.3,17,Performance,AWD,Red
2015,Q4,Asia,Model S,4219,106230.24,23,Long Range,AWD,Blue
2014,Q1,Europe,Model 3,89,37283.43,49,Long Range,RWD,Green
2012,Q3,Australia,Cybertruck,1793,69617.47,38,Standard,AWD,Red
2016,Q4,Australia,Model S,4132,103107.79,27,Standard,AWD,Blue
2015,Q4,South America,Model Y,725,91126.99,40,Long Range,AWD,Silver
2014,Q3,South America,Semi,4141,61146.52,17,Standard,RWD,Silver
2015,Q2,North America,Model X,4663,101765.84,0,Long Range,AWD,Black
2019,Q4,Australia,Model S,2480,61830.31,35,Performance,AWD,Silver
2016,Q4,Australia,Model S,4655,64987.03,0,Performance,RWD,Green
2021,Q4,Europe,Model Y,3003,60422.33,17,Standard,AWD,Red
2012,Q4,Australia,Model 3,2550,70265.27,27,Standard,AWD,Black
2016,Q1,Australia,Model X,2111,77650.24,20,Long Range,RWD,White
2020,Q2,Asia,Model S,3761,116399.9,56,Performance,AWD,Green
2024,Q3,South America,Model Y,2100,40804.8,41,Performance,AWD,White
2015,Q4,South America,Model X,1175,71687.21,55,Long Range,AWD,Blue
2017,Q2,North America,Model 3,4473,116184.14,29,Standard,AWD,Black
2014,Q2,North America,Model S,3250,63609.44,26,Standard,AWD,Silver
2019,Q3,Asia,Cybertruck,4367,106245.65,4,Performance,RWD,Black
2020,Q1,South America,Semi,4678,86688.62,29,Standard,AWD,White
2014,Q4,Australia,Semi,1857,76609.1,22,Long Range,RWD,Blue
2018,Q1,Asia,Semi,2073,84308.31,51,Performance,AWD,Silver
2012,Q4,Europe,Model Y,4470,117656.79,41,Long Range,AWD,White
2019,Q3,South America,Model 3,4697,94229.49,23,Long Range,RWD,Green
2012,Q3,Asia,Model 3,3276,56350.77,13,Long Range,RWD,White
2019,Q4,South America,Model 3,2664,48362.9,32,Standard,RWD,Silver
2022,Q2,Asia,Cybertruck,3524,89858.04,30,Long Range,RWD,White
2018,Q3,Australia,Cybertruck,2385,114753.33,49,Standard,RWD,White
2021,Q3,South America,Model Y,2730,102070.88,0,Standard,AWD,Green
2017,Q1,Asia,Model X,2942,75796.36,37,Performance,RWD,Green
2012,Q1,Europe,Model Y,1321,50209.72,35,Standard,AWD,Red
2016,Q4,Europe,Cybertruck,2182,37174.06,51,Long Range,RWD,Black
2018,Q4,South America,Model X,4653,53868.39,59,Performance,AWD,Green
2019,Q2,Australia,Model Y,4683,98816.4,9,Standard,AWD,White
2024,Q2,Asia,Semi,2109,109395.28,27,Long Range,RWD,Red
2023,Q4,South America,Model 3,2276,117608.38,38,Long Range,AWD,Black
2020,Q2,Europe,Model S,4510,56043.79,1,Standard,RWD,Silver
2024,Q1,North America,Model Y,1811,43143.02,48,Long Range,AWD,Red
2014,Q1,Europe,Model Y,422,50605.23,7,Performance,RWD,Blue
2012,Q1,North America,Semi,911,90773.46,40,Performance,AWD,Blue
2013,Q3,North America,Model X,2382,96096.53,19,Long Range,AWD,Red
2023,Q1,South America,Semi,1705,59057.74,45,Performance,AWD,Black
2023,Q4,Australia,Model 3,3006,47542.21,55,Standard,AWD,Red
2013,Q4,Australia,Cybertruck,957,44599.88,27,Long Range,RWD,Green
2021,Q3,North America,Model Y,2818,52740.84,54,Standard,RWD,Green
2020,Q3,Australia,Model Y,3708,40294.2,50,Long Range,RWD,Blue
2023,Q1,North America,Model Y,1388,72558.61,29,Performance,RWD,Black
2015,Q4,South America,Model S,647,110292.57,38,Standard,RWD,Red
2024,Q4,South America,Model Y,4229,82272.81,60,Standard,AWD,Black
2013,Q1,Asia,Model X,3383,77487.04,44,Long Range,RWD,Blue
2013,Q4,Australia,Model S,1106,110166.35,42,Standard,AWD,White
2014,Q3,South America,Cybertruck,4601,75315.61,15,Long Range,RWD,Black
2015,Q3,Australia,Model X,4422,59309.8,8,Performance,RWD,Black
2014,Q4,Europe,Model X,1899,105587.05,54,Long Range,AWD,Blue
2023,Q3,Europe,Model Y,1784,69097.88,51,Performance,RWD,Black
2013,Q4,Asia,Model X,4767,57523.02,36,Long Range,RWD,Green
2013,Q4,Asia,Model Y,1472,111676.41,42,Long Range,RWD,Black
2012,Q1,Australia,Model X,1026,57192.7,60,Performance,AWD,Silver
2020,Q1,Europe,Model X,3363,118273.84,57,Standard,RWD,Silver
2023,Q1,Australia,Cybertruck,3435,55599.37,28,Long Range,AWD,Black
2013,Q2,Asia,Model S,1186,96807.51,12,Standard,RWD,Red
2020,Q4,North America,Model X,4539,60105.33,23,Standard,RWD,Silver
2018,Q1,Australia,Model 3,4050,49414.29,45,Performance,RWD,Red
2021,Q2,South America,Model 3,285,63901.21,31,Long Range,RWD,Green
2020,Q1,Asia,Model S,2349,104471.17,14,Performance,AWD,Black
2022,Q4,Australia,Model S,4032,62765.54,5,Standard,AWD,Red
2024,Q2,Asia,Model Y,3109,55434.23,10,Long Range,AWD,Blue
2024,Q3,Europe,Model X,672,49489.39,60,Long Range,RWD,Blue
2018,Q3,Europe,Model 3,3305,77189.84,43,Performance,AWD,Black
2014,Q4,South America,Semi,2670,74931.77,20,Standard,RWD,Red
2012,Q3,North America,Cybertruck,2951,46962.67,25,Standard,AWD,White
2015,Q1,Asia,Model S,590,75881.87,51,Long Range,AWD,Black
2014,Q1,South America,Model 3,764,53914.04,58,Performance,AWD,Green
2019,Q4,Asia,Model X,2905,60397.59,39,Standard,AWD,White
2015,Q1,South America,Cybertruck,1158,51331.96,15,Standard,AWD,Black
2018,Q1,Australia,Model Y,2355,95970.62,20,Performance,AWD,Green
2015,Q1,Europe,Cybertruck,2359,39562.81,36,Long Range,RWD,Black
2024,Q1,South America,Semi,4878,116065.95,19,Performance,RWD,Red
2021,Q1,North America,Model X,644,117325.45,10,Long Range,AWD,Green
2022,Q3,Australia,Model Y,406,98631.87,39,Performance,AWD,Blue
2019,Q2,Asia,Semi,3518,38645.9,15,Standard,RWD,Red
2014,Q2,Europe,Cybertruck,3323,76640.3,57,Performance,RWD,Red
2018,Q4,South America,Cybertruck,2520,118330.06,36,Standard,RWD,Green
2015,Q2,Europe,Model X,3092,114144.04,32,Standard,RWD,Blue
2020,Q4,Europe,Model S,4732,71112.88,14,Standard,RWD,Black
2019,Q3,Australia,Cybertruck,131,44400.68,24,Standard,AWD,Silver
2015,Q3,Australia,Model Y,1738,89499.72,22,Long Range,RWD,White
2015,Q2,Asia,Cybertruck,1476,95303.11,19,Performance,RWD,Black
2018,Q3,South America,Semi,3433,117159.6,42,Standard,RWD,Black
2022,Q3,Australia,Model 3,4204,41259.21,15,Standard,RWD,White
2015,Q1,Europe,Model 3,2105,97869.35,8,Performance,RWD,Green
2023,Q4,Asia,Model 3,2376,107183.3,39,Long Range,AWD,Silver
2013,Q2,Australia,Semi,745,69697.82,22,Long Range,RWD,White
2014,Q3,South America,Model X,4804,101189.17,12,Performance,RWD,Green
2012,Q1,Asia,Cybertruck,2889,96222.35,47,Long Range,AWD,Black
2018,Q1,South America,Model X,1932,69829.82,45,Performance,RWD,Silver
2018,Q4,Australia,Model 3,3678,48930.8,1,Standard,RWD,Black
2017,Q4,Asia,Model 3,4874,69683.26,30,Standard,RWD,White
2015,Q1,Asia,Cybertruck,4167,71444.18,7,Standard,AWD,White
2016,Q1,North America,Model X,3212,45382.77,20,Performance,RWD,Green
2016,Q4,Asia,Model 3,3342,99025.19,14,Performance,AWD,Silver
2022,Q3,Europe,Model X,605,43802.99,57,Performance,AWD,Black
2023,Q2,Europe,Model 3,4619,81090.52,28,Performance,RWD,Blue
2020,Q2,South America,Model Y,2399,59666.71,44,Performance,AWD,Red
2017,Q3,South America,Model S,4563,62684.84,14,Standard,AWD,Red
2012,Q2,South America,Model Y,2668,103325.3,17,Standard,RWD,Silver
2016,Q4,Europe,Model Y,2701,64036.31,56,Long Range,AWD,Black
2024,Q3,South America,Cybertruck,1247,118563.35,20,Standard,RWD,Green
2017,Q1,Asia,Model Y,3554,59382.18,26,Long Range,AWD,Green
2014,Q4,Asia,Cybertruck,3558,39387.75,58,Performance,RWD,Green
2017,Q3,Australia,Cybertruck,1143,69206.42,34,Performance,AWD,Green
2020,Q4,South America,Model Y,2105,75919.13,46,Standard,AWD,Green
2013,Q2,Europe,Semi,4735,115870.91,5,Performance,AWD,Green
2020,Q2,Asia,Cybertruck,4390,110464.44,58,Standard,AWD,White
2016,Q4,South America,Cybertruck,3165,65624.61,6,Long Range,RWD,Green
2019,Q4,North America,Semi,4341,105040.47,60,Performance,AWD,Black
2020,Q3,Australia,Model S,894,74872.61,47,Long Range,AWD,Silver
2023,Q2,North America,Model 3,828,40190.36,60,Performance,AWD,Blue
2021,Q4,Europe,Model 3,4759,64919.6,48,Standard,AWD,Silver
2016,Q3,Europe,Cybertruck,917,112266.21,46,Long Range,AWD,White
2016,Q2,Europe,Cybertruck,4737,51578.58,17,Performance,RWD,Red
2022,Q1,Australia,Model Y,3691,43014.3,34,Long Range,AWD,Black
2016,Q2,Europe,Model S,1523,78149.85,42,Performance,AWD,White
2018,Q2,Asia,Model S,2733,99535.7,30,Performance,AWD,Green
2018,Q2,Europe,Cybertruck,1937,77995.41,18,Long Range,AWD,Green
2013,Q3,South America,Model Y,2063,105506.51,37,Performance,AWD,Silver
2014,Q1,North America,Cybertruck,475,76080.71,18,Long Range,RWD,Silver
2020,Q4,Asia,Semi,4037,99116.53,30,Long Range,RWD,Silver
2015,Q4,South America,Cybertruck,1776,77591.01,9,Long Range,AWD,Silver
2019,Q3,Europe,Semi,3577,70592.53,18,Performance,AWD,Black
2016,Q2,South America,Cybertruck,1934,99248.6,14,Standard,AWD,Silver
2015,Q3,North America,Model S,738,56586.5,51,Performance,RWD,Green
2024,Q4,Asia,Cybertruck,3976,115393.67,14,Performance,RWD,Red
2023,Q4,Asia,Model Y,2326,110684.61,2,Long Range,AWD,Red
2016,Q1,North America,Model S,2210,80732.44,21,Long Range,RWD,Blue
2020,Q3,Europe,Model X,4780,116199.09,37,Standard,RWD,Red
2020,Q3,Asia,Cybertruck,3355,117530.14,1,Long Range,AWD,Blue
2014,Q2,North America,Model S,3513,61549.63,49,Standard,RWD,Silver
2023,Q2,Asia,Model S,4937,75837.45,12,Long Range,RWD,Green
2022,Q1,Australia,Semi,4109,74065.2,35,Long Range,AWD,Green
2015,Q1,Australia,Semi,3300,106971.41,29,Long Range,AWD,Blue
2023,Q4,Europe,Cybertruck,242,93442.1,13,Performance,AWD,Blue
2015,Q1,Asia,Cybertruck,2581,119626.97,17,Long Range,AWD,White
2022,Q2,Australia,Model S,1996,56876.14,44,Performance,RWD,Black
2014,Q3,Europe,Semi,983,93786.52,26,Performance,RWD,Black
2012,Q3,Australia,Model 3,1580,44838.29,24,Long Range,RWD,White
2017,Q1,South America,Model Y,4404,76880.52,51,Long Range,RWD,Red
2022,Q2,Asia,Semi,2883,40347.23,5,Long Range,RWD,Green
2017,Q1,North America,Cybertruck,4084,70964.39,10,Standard,AWD,White
2024,Q4,North America,Semi,4228,43056.34,0,Standard,RWD,Silver
2024,Q1,Europe,Model Y,4271,44347.08,48,Performance,AWD,Red
2017,Q1,South America,Semi,970,94064.64,57,Standard,RWD,Blue
2012,Q2,North America,Model 3,2430,111986.0,28,Long Range,RWD,Black
2021,Q3,South America,Model S,1460,68047.39,55,Performance,AWD,Red
2022,Q1,Europe,Model S,2388,118297.75,39,Long Range,AWD,White
2017,Q2,Europe,Model 3,1902,36952.19,9,Long Range,RWD,Blue
2020,Q2,South America,Model 3,2608,110183.54,2,Performance,AWD,White
2015,Q2,Asia,Semi,4948,70256.88,9,Long Range,RWD,Green
2017,Q3,Australia,Cybertruck,318,48684.93,50,Standard,AWD,Red
2015,Q3,North America,Semi,2359,94203.97,39,Standard,AWD,Green
2019,Q2,North America,Semi,849,41755.21,55,Standard,RWD,Red
2015,Q3,Europe,Model 3,2708,52998.18,14,Performance,AWD,Black
2024,Q3,Europe,Model S,867,114533.2,18,Performance,RWD,Blue
2017,Q2,Asia,Semi,4170,102285.63,19,Long Range,RWD,Red
2022,Q4,South America,Model X,3421,98421.09,28,Performance,RWD,Silver
2017,Q2,North America,Model S,4639,63501.86,28,Standard,AWD,Green
2017,Q3,South America,Cybertruck,4092,92712.14,36,Standard,RWD,Silver
2012,Q4,Europe,Model X,752,62353.98,20,Performance,RWD,Red
2020,Q4,Europe,Model X,1333,91011.43,30,Performance,RWD,Green
2014,Q2,Asia,Model 3,1975,62841.46,60,Long Range,RWD,White
2022,Q4,South America,Model S,2153,35085.81,58,Long Range,AWD,Green
2019,Q2,North America,Model Y,1030,98809.39,10,Long Range,AWD,White
2020,Q4,Australia,Model Y,1744,62214.95,0,Long Range,AWD,Green
2022,Q2,Australia,Semi,1987,44121.92,36,Long Range,AWD,Blue
2015,Q4,Europe,Semi,1017,102366.09,3,Long Range,AWD,Blue
2023,Q4,Europe,Cybertruck,3454,66015.69,10,Long Range,AWD,Silver
2018,Q1,Asia,Model X,4548,50561.86,52,Long Range,AWD,Red
2024,Q3,North America,Model X,4143,75972.51,44,Standard,AWD,Silver
2017,Q3,Europe,Semi,4529,62468.9,31,Performance,AWD,Blue
2015,Q3,South America,Semi,3408,60527.26,60,Standard,RWD,Silver
2020,Q3,North America,Cybertruck,4525,39175.0,34,Long Range,RWD,Blue
2018,Q4,South America,Model Y,2179,56559.29,27,Standard,AWD,Blue
2023,Q4,Europe,Model 3,3978,84058.35,55,Standard,AWD,Green
2016,Q3,North America,Model X,1398,44800.83,18,Standard,RWD,Green
2018,Q4,North America,Cybertruck,4413,98841.35,59,Long Range,AWD,Silver
2016,Q3,Asia,Model Y,1004,55802.92,51,Performance,RWD,White
2019,Q2,North America,Model 3,1870,78145.08,32,Long Range,RWD,White
2022,Q1,North America,Model X,4876,36045.1,18,Long Range,AWD,Blue
2013,Q2,Europe,Cybertruck,1969,55991.84,56,Standard,RWD,White
2023,Q1,South America,Model Y,50,79654.52,35,Long Range,RWD,Green
2020,Q2,Australia,Model Y,3424,37314.15,31,Performance,RWD,Silver
2023,Q1,North America,Model S,3666,87033.08,45,Standard,AWD,Blue
2017,Q2,South America,Cybertruck,3673,48990.19,51,Performance,RWD,Silver
2020,Q1,Asia,Model 3,3260,63792.19,40,Long Range,AWD,Blue
2014,Q1,Asia,Model Y,4535,55598.22,28,Standard,AWD,Blue
2018,Q2,South America,Model S,4385,66618.21,13,Standard,RWD,Silver
2018,Q4,Australia,Model X,2916,82950.36,28,Standard,RWD,White
2020,Q1,North America,Semi,4478,112515.33,51,Long Range,RWD,Black
2017,Q1,Australia,Semi,2531,84287.56,7,Long Range,RWD,Red
2019,Q3,North America,Model S,389,109092.91,19,Long Range,RWD,Red
2022,Q1,Europe,Semi,3275,52949.09,13,Long Range,RWD,Blue
2022,Q2,Asia,Model X,3383,69117.1,15,Performance,AWD,Red
2022,Q4,North America,Semi,3634,39329.02,37,Performance,RWD,Black
2021,Q1,Europe,Cybertruck,835,66010.92,6,Long Range,RWD,White
2018,Q2,Europe,Cybertruck,2955,113869.91,50,Performance,RWD,Blue
2016,Q2,Australia,Model S,2221,105913.56,49,Long Range,RWD,Red
2024,Q4,South America,Model X,3073,56840.87,42,Performance,AWD,Black
2023,Q2,Asia,Model 3,3943,91959.98,0,Performance,RWD,White
2018,Q1,South America,Model 3,1224,104466.69,27,Performance,AWD,Red
2019,Q3,North America,Model X,3342,111722.32,32,Performance,AWD,Silver
2022,Q2,Australia,Cybertruck,912,97330.77,15,Standard,RWD,Blue
2013,Q3,Australia,Cybertruck,3706,89414.05,29,Long Range,AWD,Silver
2012,Q3,Europe,Model Y,3512,111292.98,41,Performance,AWD,Black
2020,Q2,Europe,Model 3,884,90605.74,50,Performance,AWD,Silver
2021,Q3,Europe,Model S,953,65056.97,49,Performance,AWD,Silver
2023,Q4,Asia,Model S,2423,68760.14,60,Standard,RWD,Green
2012,Q4,Europe,Model S,544,79996.12,2,Standard,RWD,Blue
2017,Q1,South America,Model 3,3480,81949.31,48,Long Range,AWD,Red
2014,Q1,North America,Model X,3254,50052.0,50,Standard,RWD,Red
2017,Q2,Europe,Cybertruck,1747,49698.26,36,Long Range,AWD,White
2017,Q3,Australia,Cybertruck,476,39881.6,52,Performance,AWD,Green
2019,Q3,North America,Model S,4144,98552.55,2,Performance,AWD,Green
2022,Q4,South America,Model Y,2217,36562.85,3,Standard,RWD,Blue
2015,Q1,Australia,Semi,2313,46088.49,24,Long Range,AWD,Black
2016,Q3,Australia,Semi,2098,38927.1,48,Standard,RWD,Red
2019,Q4,Europe,Model X,1541,57417.3,15,Performance,AWD,Black
2015,Q3,Australia,Model Y,3685,59441.62,42,Long Range,AWD,White
2023,Q1,Australia,Semi,4587,108258.68,6,Long Range,AWD,White
2015,Q4,North America,Semi,3899,111134.65,56,Performance,RWD,Red
2012,Q1,North America,Model Y,3353,110049.29,5,Long Range,AWD,Blue
2019,Q2,North America,Model 3,2654,74960.93,24,Long Range,RWD,White
2013,Q4,Asia,Model 3,2271,99795.65,11,Long Range,AWD,Red
2016,Q2,North America,Model S,3512,113248.05,16,Long Range,AWD,Black
2018,Q3,Asia,Model 3,1963,43376.71,27,Long Range,RWD,Red
2024,Q2,North America,Semi,147,115450.72,34,Performance,AWD,Green
2016,Q3,Australia,Model X,4132,55437.82,17,Performance,AWD,White
2013,Q4,Asia,Model S,2131,118596.58,50,Performance,AWD,Blue
2017,Q1,South America,Model X,4007,113344.56,9,Performance,AWD,Silver
2017,Q3,North America,Semi,3173,50087.65,31,Performance,AWD,Silver
2024,Q2,Europe,Model 3,716,50757.04,24,Long Range,RWD,Black
2024,Q2,Australia,Semi,4101,51033.46,12,Long Range,RWD,Black
2013,Q3,South America,Model Y,586,87497.15,39,Long Range,AWD,White
2023,Q2,Australia,Model X,1542,76527.89,29,Performance,RWD,Blue
2015,Q2,North America,Model S,290,75411.04,12,Long Range,AWD,Black
2019,Q2,South America,Model X,3937,40034.93,49,Performance,RWD,Black
2023,Q2,Europe,Model Y,493,78848.47,39,Performance,AWD,Blue
2019,Q2,South America,Model S,834,53983.23,13,Long Range,AWD,Green
2022,Q2,Europe,Model X,4570,96501.16,42,Standard,AWD,Green
2017,Q4,Asia,Model 3,3855,40962.83,23,Long Range,RWD,Red
2023,Q4,Europe,Model 3,792,43488.88,50,Standard,RWD,Green
2019,Q4,South America,Model S,3871,35715.81,60,Standard,RWD,Silver
2014,Q3,Australia,Semi,2495,45793.2,27,Performance,RWD,Blue
2022,Q1,Europe,Model S,3738,118861.99,58,Performance,AWD,Silver
2020,Q3,Asia,Model X,3617,62764.57,45,Long Range,AWD,Green
2024,Q2,North America,Model S,3274,89909.03,51,Long Range,AWD,Red
2024,Q3,Australia,Model X,2584,79127.51,0,Standard,AWD,Red
2017,Q2,Asia,Model Y,205,58974.59,57,Performance,AWD,White
2013,Q4,Asia,Model 3,3104,40089.65,43,Standard,RWD,Silver
2019,Q4,Europe,Model S,376,93716.41,57,Standard,AWD,Green
2016,Q3,South America,Cybertruck,1524,56360.09,19,Standard,AWD,Black
2023,Q3,South America,Model S,2230,112813.12,19,Performance,RWD,Red
2012,Q4,Europe,Model Y,3304,91616.75,43,Long Range,RWD,White
2020,Q4,Asia,Model Y,3615,103572.16,27,Long Range,RWD,Red
2021,Q4,North America,Cybertruck,2958,70739.12,54,Long Range,RWD,Silver
2013,Q3,North America,Model X,3738,106898.98,29,Standard,AWD,White
2019,Q3,Asia,Semi,4552,57872.38,21,Performance,RWD,Green
2021,Q3,Europe,Model S,3730,48646.63,59,Performance,RWD,Black
2018,Q4,South America,Cybertruck,304,101976.53,11,Long Range,RWD,Green
2015,Q4,Australia,Model Y,4354,56764.12,17,Long Range,AWD,Blue
2021,Q1,Asia,Model Y,3952,80063.8,30,Performance,AWD,Black
2021,Q2,Asia,Cybertruck,2355,43301.87,0,Standard,RWD,Green
2021,Q1,Asia,Model Y,2976,85160.5,6,Standard,AWD,Red
2016,Q2,South America,Semi,1752,96285.92,22,Performance,RWD,Black
2019,Q4,Europe,Semi,699,119612.7,36,Standard,AWD,Blue
2015,Q4,Europe,Model Y,4624,96089.18,48,Performance,RWD,Silver
2020,Q4,South America,Model S,476,60037.95,28,Long Range,AWD,Silver
2016,Q1,North America,Model Y,887,83176.2,8,Performance,RWD,Black
2015,Q1,North America,Model S,982,96138.46,32,Long Range,RWD,Blue
2017,Q4,North America,Model Y,1960,35579.0,60,Standard,RWD,Black
2020,Q2,Europe,Semi,2188,36321.79,0,Long Range,AWD,Black
2016,Q4,North America,Model S,4613,95453.72,1,Standard,RWD,White
2023,Q3,Australia,Model Y,3630,70456.84,54,Long Range,RWD,Silver
2023,Q4,North America,Semi,4080,63688.32,16,Standard,AWD,Blue
2019,Q1,South America,Model 3,3339,76811.89,35,Long Range,RWD,Red
2023,Q3,North America,Model S,2740,104626.85,14,Long Range,RWD,Black
2012,Q4,Australia,Semi,4465,41680.67,41,Standard,AWD,Blue
2013,Q4,North America,Model X,359,37490.17,31,Long Range,AWD,Red
2013,Q4,Australia,Model Y,424,71844.83,31,Standard,AWD,Silver
2021,Q4,South America,Model 3,1657,70940.1,53,Long Range,RWD,Green
2020,Q1,North America,Model 3,1403,64090.58,25,Standard,AWD,Silver
2022,Q4,Europe,Model Y,560,54251.21,23,Long Range,RWD,Silver
2018,Q1,Europe,Model X,2044,118369.48,24,Performance,RWD,Black
2019,Q2,South America,Model Y,843,104464.03,34,Standard,RWD,Red
2017,Q4,North America,Semi,4421,86783.73,54,Performance,RWD,Red
2015,Q1,Asia,Model Y,170,45751.5,41,Performance,AWD,Black
2024,Q1,South America,Model X,1524,76200.77,1,Long Range,AWD,Silver
2012,Q1,Europe,Model X,1336,56495.82,5,Standard,RWD,Silver
2013,Q3,North America,Model 3,230,117260.75,59,Standard,RWD,White
2024,Q4,South America,Cybertruck,4833,57544.41,14,Performance,RWD,Silver
2016,Q1,Europe,Model Y,1730,86828.24,19,Performance,AWD,Black
2015,Q1,Asia,Semi,2631,93903.61,38,Long Range,RWD,Blue
2018,Q2,Europe,Semi,429,45941.86,0,Long Range,AWD,Black
2019,Q1,Asia,Model S,248,101148.03,15,Performance,RWD,Blue
2018,Q2,Australia,Cybertruck,287,65338.48,31,Standard,AWD,Silver
2013,Q4,Europe,Model S,76,82892.69,42,Performance,RWD,Black
2024,Q1,Europe,Model Y,4866,38990.73,46,Standard,RWD,Black
